animate?, num_of_agents, neighbourhood, num_of_iterations, name, time, system, machine, details
DON'T ANIMATE,10,10,100,0.15163142303936183,localhost,Linux3.18.14-14928722-QB24002078,armv8l,n

DON'T ANIMATE,10,10,1000,1.5218916530138813,localhost,Linux3.18.14-14928722-QB24002078,armv8l,n

DON'T ANIMATE,10,10,10000,15.253325105004478,localhost,Linux3.18.14-14928722-QB24002078,armv8l,n

DON'T ANIMATE,10,10,100000,153.17763058299897,localhost,Linux3.18.14-14928722-QB24002078,armv8l,n

ANIMATE,10,10,10000,50.6065129,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

a,100,20,10000,42.0609357,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,100,0.06763260000000004,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,1000,0.7270878999999999,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,10000,7.167660799999999,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,100000,54.947584400000004,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,10000,4.7251876,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

ANIMATE,10,10,10000,22.5095652,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

ANIMATE,10,10,10000,10.513599999999999,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

ANIMATE,10,10,10000,107.5157593,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

DON'T ANIMATE,10,10,10000,4.3917018,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

ANIMATE,10,10,10000,7.710762300000001,DESKTOP-J8Q0S4T,Windows10,AMD64,Intel64 Family 6 Model 142 Stepping 9 GenuineInteln

